Ua(V),Ub(V),Uc(V), Ia(A), Ib(A),   Ic(A)
17.38,64.017,-81.763,13.431,66.522,-80.002
-84.137,49.143,34.814,-80.105,45.68,34.447
2.0831,-74.877,72.638,9.6021,-77.802,68.158
63.317,17.816,-81.136,68.443,12.257,-80.802
60.662,-78.561,17.883,53.136,-71.009,17.911
84.173,-52.696,-31.076,82.366,-54.43,-27.811
-82.693,24.511,57.562,-77.216,17.436,59.592
-2.2139,-70.866,73.44,-6.7718,-65.981,72.726
21.305,60.619,-82.059,17.393,62.265,-79.957
64.389,16.759,-81.514,66.647,12.56,-79.287
76.86,-69.832,-6.9489,80.196,-65.585,-14.283
-81.053,61.47,19.522,-81.101,57.841,23.411
77.499,-65.162,-12.399,79.456,-62.552,-16.749
-53.899,83.297,-29.219,-53.918,80.26,-26.52
-27.073,82.548,-55.488,-27.942,79.024,-51.045
83.466,-56.106,-26.729,79.055,-58.162,-20.728
-69.52,78.135,-8.6435,-69.913,74.965,-5.1532
-85.778,41.03,44.343,-84.757,37.463,47.374
55.576,-82.68,27.171,51.664,-82.357,30.832
-82.874,50.029,32.348,-72.838,48.196,24.424
64.207,-77.581,13.031,62.152,-66.452,4.2091
-45.126,-40.119,85.397,-46.945,-36.396,83.65
45.803,36.854,-82.937,37.537,37.475,-74.888
-85.008,51.199,33.513,-82.512,53.397,28.754
-77.25,62.614,14.294,-70.6,52.391,18.178
-2.6687,-72.283,75.227,-7.678,-69.144,76.925
4.283,-75.777,71.554,7.8968,-77.154,68.72
4.6315,71.68,-76.366,2.5274,70.698,-72.938
-82.556,26.487,56.166,-82.45,29.931,52.348
-79.918,13.157,66.855,-76.636,7.9889,68.72
-79.612,62.335,16.935,-68.456,58.854,9.4776
-62.212,80.822,-18.154,-63.042,74.621,-11.455
-52.981,81.507,-28.495,-44.653,73.49,-28.93
-83.219,24.958,58.227,-82.543,28.41,54.074
84.983,-47.741,-37.021,85.369,-47.452,-37.712
-79.949,66.73,13.281,-76.823,68.657,8.1132
-75.075,69.668,5.1583,-77.405,68.052,9.1358
-55.551,-24.986,81.028,-53.829,-16.33,70.25
-80.42,61.496,18.24,-70.662,57.642,12.43
61.263,-81.488,19.64,62.441,-75.918,13.385
27.801,-82.82,54.715,33.894,-78.956,44.808
82.999,-45.617,-36.854,73.148,-44.405,-28.402
-77.336,70.281,6.9311,-77.382,69.983,6.6364
13.188,65.185,-79.015,7.373,65.605,-73.07
-72.931,1.8955,71.315,-67.368,1.3051,66.188
84.595,-46.397,-37.986,84.393,-41.187,-43.571
-41.774,85.622,-43.567,-38.116,84.353,-46.535
77.807,-70.216,-7.7577,74.056,-71.641,-2.8909
-45.685,-39.683,85.459,-48.251,-36.023,84.645
14.422,64.615,-79.617,8.797,65.384,-74.431
-83.895,27.261,56.412,-83.279,28.913,54.057
-49.905,82.781,-32.317,-48.04,72.371,-24.02
-81.935,62.808,19.084,-80.553,64.741,15.325
-84.23,53.775,30.151,-81.008,53.039,27.739
-77.126,66.902,9.9126,-66.281,62.863,3.4181
66.488,13.427,-80.103,66.898,13.055,-79.901
-33.451,-48.991,82.483,-32.437,-40.762,73.477
7.8634,-75.464,67.334,6.5823,-68.928,62.022
20.542,61.482,-82.263,16.628,62.366,-79.205
56.71,24.673,-81.787,53.727,17.091,-70.787
83.181,-29.868,-52.785,76.65,-28.513,-47.941
-83.67,54.055,29.499,-83.75,54.23,29.566
-69.895,-3.4561,73.281,-64.649,-2.6899,67.409
67.943,10.786,-78.829,67.548,10.546,-78.377
73.123,-0.69579,-72.134,72.22,-3.9238,-68.418
39.565,44.803,-85.151,33.251,51.206,-84.359
-64.444,-14.458,79.321,-60.812,-21.717,82.889
75.727,-9.4154,-66.126,70.569,-13.89,-56.71
-61.826,81.905,-20.124,-57.929,81.603,-23.636
-81.88,26.258,55.343,-70.88,18.303,52.267
11.939,-78.601,66.598,18.971,-82.007,62.46
49.967,31.758,-82.098,40.241,33.436,-73.739
-49.455,84.945,-35.094,-48.718,84.404,-35.633
65.951,-79.491,13.157,62.086,-80.095,17.936
57.291,24.244,-81.886,54.438,29.777,-84.864
-54.131,-28.215,83.03,-51.863,-26.568,78.711
-39.932,85.335,-45.313,-36.209,83.712,-47.225
0.34236,73.605,-73.99,4.1648,70.035,-74.615
-30.346,84.652,-54.065,-26.356,82.127,-55.402
-60.781,78.524,-17.712,-50.62,71.688,-21.037
81.819,-52.095,-29.256,71.041,-50.19,-20.697
-41.652,-43.203,85.015,-40.22,-42.498,82.326
49.15,33.356,-82.546,40.857,31.994,-73.066
13.058,-78.943,65.844,19.733,-82.411,62.056
-82.745,60.235,22.349,-81.407,57.547,23.566
82.978,-27.453,-55.221,79.241,-33.8,-45.156
62.982,18.818,-81.724,67.892,13.762,-82.001
43.147,-84.969,41.585,49.317,-84.689,35.552
-19.023,80.997,-61.67,-15.918,78.297,-61.968
-85.342,45.995,39.068,-84.198,42.189,42.089
48.998,-85.56,36.064,52.037,-84.353,32.271
-57.097,84.191,-26.598,-58.565,81.587,-22.571
80.866,-15.78,-65.02,77.682,-11.469,-66.003
83.687,-52,-31.753,79.372,-47.817,-31.486
56.834,-81.849,24.611,54.908,-71.532,16.438
-77.429,67.81,9.2983,-72.754,67.726,4.62
56.412,27.261,-83.895,54.057,28.913,-83.279
-24.524,83.064,-58.039,-20.706,80.997,-60.109
58.071,-83.25,25.16,53.911,-82.505,28.542
-11.856,79.771,-67.647,-7.8346,77.205,-69.413
